Product url,Brand,Model,Type,Price,Capacity - mAh,EnergyPerCell - Watts,Max Discharge A,Num Cells4V,Weight,Current Ah,min Cost,Kwh for Min cost,Chemistry,Voltage,availability,Cost KwH,LowPriceQty,LowPrice,Density W/KG,LC Min Price,LC KwH
https://eu.nkon.nl/molicel-inr21700-p42a-4000mah-45a-button-top.html,Molicel,INR-21700-P42A,21700,7.49,3950,14.22,45.00,15,72,"3,950.00",112.35,0.2,Li-ion,3.6,In stock,526.72,No offers,7.49,187.26,112.35,526.72
https://eu.nkon.nl/inr18650-mj1-buttontop.html,**,INR18650-MJ1,18650,6.45,3400,12.24,10.00,15,49,"3,400.00",96.75,0.17,Li-ion,3.6,In stock,526.96,No offers,6.45,236.84,96.75,526.96
https://eu.nkon.nl/samsung-inr18650-15m.html,Samsung,INR18650-15M,18650,3.45,1450,5.22,20.00,15,42,"1,450.00",51.75,0.07,Li-ion,3.6,In stock,660.92,Buy 600 times for,2.85,117.84,42.75,545.98
https://eu.nkon.nl/sony-us18650vtc4-button-top.html,Sony,US18650VTC4,18650,4.75,2000,7.2,30.00,15,47,"2,000.00",71.25,0.1,Li-ion,3.6,In stock,659.72,Buy 50 times for,4.25,145.25,63.75,590.28
https://eu.nkon.nl/xtar-18650-3300mah-protected-10a.html,Xtar,18650,18650,7.95,3300,11.879999999999999,10.00,15,51,10.00,119.25,0.17,Li-ion,3.6,In stock,669.19,Buy 20 times for,7.25,220.86,108.75,610.27
https://eu.nkon.nl/molicel-inr18650-p26a-2600mah-35a-button-top.html,Molicel,INR-18650-P26A,18650,5.95,2600,9.360000000000001,35.00,15,51,"2,600.00",89.25,0.13,Li-ion,3.6,In stock,635.68,No offers,5.95,174.01,89.25,635.68
https://eu.nkon.nl/samsung-inr-18650-30q-3000mah-button-top.html,Samsung,INR18650-30Q,18650,6.95,2950,10.620000000000001,15.00,15,47,"2,950.00",104.25,0.15,Li-ion,3.6,In stock,654.43,No offers,6.95,214.24,104.25,654.43
https://eu.nkon.nl/hb2-1500mah-30a.html,**,**DAHB21865,TBA,3.65,1400,5.04,30.00,15,44,"1,400.00",54.75,0.07,Li-ion,3.6,In stock,724.21,Buy 100 times for,3.3,108.61,49.5,654.76
https://eu.nkon.nl/molicel-inr18650-p28a-2800mah-35a-button-top.html,Molicel,INR-18650-P28A,18650,7.49,2800,10.08,35.00,15,51,"2,800.00",112.35,0.14,Li-ion,3.6,In stock,743.06,No offers,7.49,187.4,112.35,743.06
https://eu.nkon.nl/keeppower-18650-2900mah.html,Keeppower,P1829J,18650,9.45,2850,10.26,8.00,15,55,"2,850.00",141.75,0.15,Li-ion,3.6,In stock,921.05,Buy 100 times for,7.75,176.87,116.25,755.36
https://eu.nkon.nl/keeppower-18650-3500-li-ion-flat-top.html,Keeppower,P1835J,18650,11.45,3450,12.420000000000002,10.00,15,50,"3,450.00",171.75,0.18,Li-ion,3.6,In stock,921.9,Buy 90 times for,9.45,235.52,141.75,760.87
https://eu.nkon.nl/nitecore-18650-nl1823-2300mah-2a.html,Nitecore,NL1823,18650,7.75,2250,8.1,2.00,15,48,"2,250.00",116.25,0.12,Li-ion,3.6,In stock,956.79,Buy 200 times for,6.25,160.0,93.75,771.6
https://eu.nkon.nl/samsung-18650-inr18650-25r-button-top.html,Samsung,INR18650-25R,18650,6.95,2450,8.82,20.00,15,48,"2,450.00",104.25,0.13,Li-ion,3.6,In stock,787.98,No offers,6.95,174.22,104.25,787.98
