Product url,Brand,Model,Price,Capacity - mAh,Max Discharge A,Num Cells4V,Weight,Current Ah,min Cost,Kwh for Min cost,Chemistry,Voltage,availability,Cost KwH,LowPriceQty,LowPrice,Density W/KG,LC Min Price,LC KwH
https://eu.nkon.nl/rechargeable/li-ion/samsung-inr18650-32e-3100mah-6-4a-reclaimed-met-roestplekken.html,Samsung,INR18650-32E,1.25,3100.0,6.40,15,48,"3,100.00",18.75,0.16,Li-ion,3.6,Out of stock,112.01,No offers,1.25,220.44,18.75,112.01
https://eu.nkon.nl/calb-l300f187-187ah-prismatic-lifepo4-3-2v-b-grade.html,Calb,L300F187,72.95,187000.0,187.00,16,3470,187.00,1167.2,9.57,LiFePO4,3.2,Expected shipping date: 20 december 2023 (tomorrow),121.91,Buy 8 times for,69.95,172.45,1119.2,116.9
https://eu.nkon.nl/eve-lf304-prismatic-304ah-lifepo4-3-2v-b-grade.html,EVE,LF304,123.45,304000.0,304.00,16,5490,304.00,1975.2,15.56,LiFePO4,3.2,Out of stock,126.9,Buy 32 times for,116.25,177.19,1860.0,119.5
https://eu.nkon.nl/catl-cb310-prismatic-280ah-lifepo4-3-2v.html,Catl,CB310,119.95,280000.0,140.00,16,5340,140.00,1919.2,14.34,LiFePO4,3.2,In stock,133.87,Buy 32 times for,108.95,167.79,1743.2,121.6
https://eu.nkon.nl/calb-l173f230-230ah-lifepo4-3-2v.html,Calb,L173F230,97.45,230000.0,230.00,16,4170,230.00,1559.2,11.78,LiFePO4,3.2,In stock,132.4,Buy 32 times for,91.05,176.5,1456.8,123.71
https://eu.nkon.nl/lishen-lp71173207-280-ah-280a-lifepo4-3-2v-b-grade.html,Lishen,LP71173207,118.95,280000.0,280.00,16,5300,280.00,1903.2,14.34,LiFePO4,3.2,Out of stock,132.76,Buy 16 times for,110.95,169.06,1775.2,123.83
https://eu.nkon.nl/calb-l194f130a-b-grade.html,Calb,L194F130A,53.45,130000.0,130.00,16,2340,130.00,855.2,6.66,LiFePO4,3.2,Expected shipping date: 10 januari 2024 (in 22 days),128.49,Buy 64 times for,52.25,177.78,836.0,125.6
https://eu.nkon.nl/calb-l173f125a-prismatic-125ah-lifepo4-3-2v-b-grade.html,Calb,L173F125A,51.95,125000.0,125.00,16,2450,125.00,831.2,6.4,LiFePO4,3.2,Expected shipping date: 20 januari 2024 (in 32 days),129.88,Buy 32 times for,50.45,163.27,807.2,126.12
https://eu.nkon.nl/catl-prismatic-173ah-lifepo4-3-2v-b-grade.html,Catl,LF173,73.95,173000.0,173.00,16,3190,173.00,1183.2,8.86,LiFePO4,3.2,Expected shipping date: 20 december 2023 (tomorrow),133.58,Buy 16 times for,69.95,173.54,1119.2,126.35
https://eu.nkon.nl/calb-l148f88a-prismatic-88ah-lifepo4-3-2v-b-grade.html,Calb,L148F88A,38.95,88000.0,88.00,16,1620,88.00,623.2,4.51,LiFePO4,3.2,Expected shipping date: 20 januari 2024 (in 32 days),138.32,Buy 16 times for,35.9,173.83,574.4,127.49
