Brand,WeightGm,Price,Bulk Prices,LC KwH,debug,Voltage,CapacityLabelText,Capacity,MinCapacity_mAh,chemistry,Size,Battery Type,
**,48,2.65,40 @ 2.25  100 @ 2.01  200 @ 1.91  600 @ 1.85 ,180311.89,4,3.6V,Typ. capacity - mAh,2850,2750,Li-ion,18650,Flat top,€180.31
Tenpower,46,2.75,10 @ 2.18  100 @ 1.97  200 @ 1.87  600 @ 1.82 ,180555.56,4,3.6V,Typ. capacity - mAh,2800,2760,Li-ion,18650,Flat top,€180.56
Sinowatt,49,2.49,10 @ 2.39  100 @ 2.29  200 @ 2.19 ,181592.04,3,3.6V,Typ. capacity - mAh,3350,3250,Li-ion,18650,Flat top,€181.59
Samsung,69,3.85,30 @ 3.75  130 @ 3.45  260 @ 3.25  390 @ 3.15 ,182291.67,4,3.6V,Typ. capacity - mAh,4800,4650,Li-ion,21700,Flat top,€182.29
BAK,69,3.89,10 @ 3.79  100 @ 3.64  200 @ 3.44  600 @ 3.29 ,182777.78,4,3.6V,Typ. capacity - mAh,5000,4900,Li-ion,21700,Flat top,€182.78
Sanyo,60,3.45,25 @ 2.85  125 @ 2.55  250 @ 2.39 ,183394.72,3,3.6V,Typ. capacity - mAh,3620,3500,Li-ion,20700,Flat top,€183.39
Sanyo,46,2.15,30 @ 1.97  180 @ 1.87  360 @ 1.77  540 @ 1.67 ,187809.27,4,3.6V,Typ. capacity - mAh,2470,2420,Li-ion,18650,Flat top,€187.81
Samsung,49,2.95,50 @ 2.75  100 @ 2.65  200 @ 2.45  400 @ 2.35  600 @ 2.30 ,187908.5,5,3.6V,Typ. capacity - mAh,3400,3350,Li-ion,18650,"Reclaimed, Flat top",€187.91
EVE,45,2.59,40 @ 2.35  100 @ 2.10  200 @ 2.00  600 @ 1.91 ,189484.13,4,3.6V,Typ. capacity - mAh,2800,2850,Li-ion,18650,Flat top,€189.48
Samsung,45,2.25,100 @ 2.15  200 @ 2.05  600 @ 1.95 ,190058.48,3,3.6V,Typ. capacity - mAh,2850,2750,Li-ion,18650,Flat top,€190.06
Lishen,42,1.65,10 @ 1.55  100 @ 1.45  200 @ 1.39 ,193055.56,3,3.6V,Typ. capacity - mAh,2000,1900,Li-ion,18650,Flat top,€193.06
EVE,1395,33.95,4 @ 33.55  8 @ 32.55  16 @ 31.10 ,194375,3,3.2V,Capacity - Ah,50,Not found,LIFEPO4,no Size,notFound,€194.38
**,72,4.65,10 @ 4.25  50 @ 4.05  100 @ 3.95 ,196987.83,3,3.6V,Typ. capacity - mAh,5570,5520,Li-ion,21700,"Reclaimed, Flat top",€196.99
Samsung,40,1.75,10 @ 1.55  100 @ 1.45 ,201388.89,2,3.6V,Typ. capacity - mAh,2000,1950,Li-ion,18650,Flat top,€201.39
**,45,2.49,30 @ 2.20  100 @ 2.10  200 @ 2.00  600 @ 1.85 ,205555.56,4,3.6V,Typ. capacity - mAh,2500,2450,Li-ion,18650,Flat top,€205.56
Tenpower,45,1.99,10 @ 1.84  100 @ 1.74  200 @ 1.64  400 @ 1.54  600 @ 1.49 ,206944.44,5,3.6V,Typ. capacity - mAh,2000,1950,Li-ion,18650,Flat top,€206.94
JGNE,87,3.15,10 @ 2.99  100 @ 2.86  200 @ 2.75  400 @ 2.65 ,207031.25,4,3.2V,Typ. capacity - mAh,4000,3950,LIFEPO4,26650,Flat top,€207.03
