Product url,Brand,Model,Type,Price,Capacity - mAh,Max Discharge A,Num Cells4V,Weight,Current Ah,min Cost,Kwh for Min cost,Chemistry,Voltage,availability,Cost KwH,LowPriceQty,LowPrice,Density W/KG,LC Min Price,LC KwH
https://eu.nkon.nl/sony-konion-us18650vtc5a-2600mah-35a-met-button-top.html,Sony,US18650VTC5A,18650,8.95,2500.0,35.00,15,49,"2,500.00",134.25,0.13,Li-ion,3.6,In stock,994.44,No offers,8.95,174.15,134.25,994.44
https://eu.nkon.nl/xtar-18650-3500-protected-10a.html,Xtar,18650,18650,13.95,3450.0,10.00,15,51,10.00,209.25,0.18,Li-ion,3.6,In stock,1123.19,Buy 20 times for,12.45,230.9,186.75,1002.42
https://eu.nkon.nl/nitecore-18650-nl1832-3200mah-30a.html,Nitecore,NL1832,TBA,14.95,3150.0,2.00,15,48,"3,150.00",224.25,0.16,Li-ion,3.6,In stock,1318.34,Buy 100 times for,11.95,224.0,179.25,1053.79
https://eu.nkon.nl/kraftmax-18650-3400mah-usb.html,Unbranded,18650,18650,13.45,3400.0,3.40,15,50,3.40,201.75,0.17,Li-ion,3.6,In stock,1098.86,No offers,13.45,232.11,201.75,1098.86
https://eu.nkon.nl/rechargeable/li-ion/vapcell-18350-1100-10a.html,Vapcell,INR18350,TBA,4.45,1100.0,10.00,15,25,"1,100.00",66.75,0.06,Li-ion,3.6,Expected shipping date: 22 december 2023 (in -3 days),1123.74,No offers,4.45,150.19,66.75,1123.74
https://eu.nkon.nl/rechargeable/li-ion/keeppower-14650-1100mah-protected-3a.html,Keeppower,P1465C,TBA,4.95,950.0,3.00,15,28,3.00,74.25,0.05,Li-ion,3.6,In stock,1447.37,Buy 200 times for,3.95,115.81,59.25,1154.97
https://eu.nkon.nl/nitecore-18650-nl1834-3400mah-protected-4a.html,Nitecore,NL1834,TBA,15.95,3350.0,4.00,15,46,"3,350.00",239.25,0.17,Li-ion,3.6,In stock,1322.55,Buy 60 times for,13.95,248.58,209.25,1156.72
https://eu.nkon.nl/rechargeable/li-ion/eagletac-17650.html,EagleTac,17650,TBA,6.75,1550.0,3.00,15,37,3.00,101.25,0.08,Li-ion,3.6,In stock,1209.68,No offers,6.75,142.99,101.25,1209.68
https://eu.nkon.nl/nitecore-18650-nl1835-3500mah-5a.html,Nitecore,NL1835,TBA,18.95,3450.0,4.00,15,46,"3,450.00",284.25,0.18,Li-ion,3.6,In stock,1525.76,Buy 100 times for,15.95,256.0,239.25,1284.22
https://eu.nkon.nl/rechargeable/li-ion/kp-18350-900.html,Keeppower,P1835C,TBA,3.95,850.0,4.30,15,26,850.00,59.25,0.04,Li-ion,3.6,In stock,1290.85,No offers,3.95,111.59,59.25,1290.85
