Brand,Model,Capacity - mAh:,Discharge Current:,min Cost:,Kwh for Min cost,Chemistry,Price:,Voltage:,availability,Cost KwH:,LowPriceQty:,LowPrice:,Low Cost KwH:
Nitecore,NL1826,2550.0,"2,550.00",160.29999999999998,0.12240000000000001,_Unknown,€11.45,3.6,In stock,1247.276688453159,,€11.45,1247.276688453159
Nitecore,NL1835R,3450.0,"3,450.00",307.3,0.16560000000000002,_Unknown,€21.95,3.6,In stock,1767.3107890499195,,€18.45,1485.5072463768117
Nitecore,NL1835,3450.0,"3,450.00",265.3,0.16560000000000002,_Unknown,€18.95,3.6,In stock,1525.7648953301127,,€18.95,1525.7648953301127
Nitecore,NL1834R,3350.0,"3,350.00",139.29999999999998,0.1608,_Unknown,€9.95,3.6,In stock,825.0414593698175,,€9.95,825.0414593698175
Nitecore,NL1834,3350.0,"3,350.00",223.29999999999998,0.1608,_Unknown,€15.95,3.6,In stock,1322.5538971807628,,€15.95,1322.5538971807628
Nitecore,NL1823,2250.0,"2,250.00",108.5,0.108,_Unknown,€7.75,3.6,In stock,956.7901234567902,,€7.75,956.7901234567902
Nitecore,NL1832,3150.0,"3,150.00",209.29999999999998,0.1512,_Unknown,€14.95,3.6,In stock,1318.342151675485,,€11.95,1053.7918871252205
Nitecore,NL1835HP,3450.0,"3,450.00",293.3,0.16560000000000002,_Unknown,€20.95,3.6,In stock,1686.7954911433173,,€20.95,1686.7954911433173
Nitecore,NL18650D,3050.0,"3,050.00",223.29999999999998,0.146399999999999,_Unknown,€15.95,3.6,In stock,1452.6411657559197,,€15.95,1452.6411657559197
Nitecore,NL1826R,2550.0,"2,550.00",153.29999999999998,0.12240000000000001,_Unknown,€10.95,3.6,In stock,1192.8104575163397,,€10.95,1192.8104575163397
Sinowatt,SW18650-30SP,2900.0,"2,900.00",45.5,0.13920000000000002,_Unknown,€3.25,3.6,Out of stock,311.30268199233717,Buy 600 times for,€2.65,253.8314176245211
Keeppower,P1832U,3150.0,"3,150.00",237.29999999999998,0.1512,_Unknown,€16.95,3.6,In stock,1494.7089947089946,,€16.95,1494.7089947089946
Tenpower,ICR18650-20SG,1950.0,"1,950.00",27.86,0.093599999999999,_Unknown,€1.99,3.6,In stock,283.47578347578343,Buy 400 times for,€1.54,219.37321937321937
