Brand,Model,Capacity - Ah:,Discharge Current:,min Cost:,Kwh for Min cost,Chemistry,Price:,Voltage:,availability,Cost KwH:,LowPriceQty:,LowPrice:,Low Cost KwH:
Tenpower,INR18650-28HE,2760.0,"2,760.00",38.5,0.13248000000000001,Li-ion,€2.75,3.6,Out of stock,276.7713365539453,Buy 600 times for,€1.82,183.17230273752017
Keeppower,P1835J,3450.0,"3,450.00",160.29999999999998,0.16560000000000002,Li-ion,€11.45,3.6,In stock,921.9001610305958,,£10000,805152.9790660226
Sanyo,UR18650ZM2,2420.0,"2,420.00",30.099999999999998,0.11616000000000001,Li-ion,€2.15,3.6,In stock,246.7860422405877,Buy 540 times for,€1.67,191.68962350780532
Olight,orb-186C32,3150.0,"3,150.00",318.5,0.1512,Li-ion,€22.75,3.6,Out of stock,2006.172839506173,,£10000,881834.2151675485
Molicel,INR-18650-P26A,2500.0,"2,500.00",64.39999999999999,0.12,Li-ion,€4.60,3.6,In stock,511.1111111111111,Buy 600 times for,€3.85,427.77777777777777
Panasonic,NCR18650BD,3030.0,"3,030.00",49.699999999999996,0.14543999999999901,Li-ion,€3.55,3.6,In stock,325.44921158782546,Buy 540 times for,€2.85,261.2761276127613
**,LGDBM361865,3400.0,"3,400.00",55.86,0.163199999999999,Li-ion,€3.99,3.6,In stock,325.98039215686276,Buy 600 times for,€3.45,281.8627450980393
**,LGGBF1L1865,3250.0,"3,250.00",52.5,0.156,Li-ion,€3.75,3.6,Out of stock,320.5128205128206,Buy 600 times for,€3.33,284.6153846153847
Molicel,INR-18650-P28A,2800.0,"2,800.00",69.86,0.13439999999999902,Li-ion,€4.99,3.6,Expected shipping date: 28 oktober 2023 (in 17 days),495.03968253968264,Buy 600 times for,€3.95,391.8650793650795
Samsung,INR18650-29E,2750.0,"2,750.00",61.459999999999994,0.132,Li-ion,€4.39,3.6,In stock,443.43434343434336,Buy 200 times for,€4.14,418.18181818181813
Samsung,INR18650-32E,3100.0,"3,100.00",53.9,0.14880000000000002,Li-ion,€3.85,3.6,Out of stock,344.9820788530465,Buy 400 times for,€2.90,259.85663082437276
Olight,ORB-186P26,2550.0,"2,550.00",195.29999999999998,0.12240000000000001,Li-ion,€13.95,3.6,Out of stock,1519.6078431372548,,£10000,1089324.6187363835
Samsung,INR18650-20R,1950.0,"1,950.00",24.5,0.093599999999999,Li-ion,€1.75,3.6,Out of stock,249.28774928774925,Buy 600 times for,€1.50,213.67521367521366
Samsung,INR18650-35E,3350.0,"3,350.00",41.300000000000004,0.1608,Li-ion,€2.95,3.6,In stock,244.6102819237148,Buy 400 times for,€2.35,194.85903814262025
Samsung,INR18650-25S,2450.0,"2,450.00",61.60000000000001,0.11760000000000001,Li-ion,€4.40,3.6,In stock,498.86621315192747,,£10000,1133786.8480725621
Nitecore,NL1835R,3450.0,"3,450.00",307.3,0.16560000000000002,Li-ion,€21.95,3.6,In stock,1767.3107890499195,,£10000,805152.9790660226
Nitecore,NL1834,3350.0,"3,350.00",223.29999999999998,0.1608,Li-ion,€15.95,3.6,In stock,1322.5538971807628,,£10000,829187.3963515755
Nitecore,NL1826,2550.0,"2,550.00",160.29999999999998,0.12240000000000001,Li-ion,€11.45,3.6,In stock,1247.276688453159,,£10000,1089324.6187363835
Nitecore,NL1835,3450.0,"3,450.00",265.3,0.16560000000000002,Li-ion,€18.95,3.6,In stock,1525.7648953301127,,£10000,805152.9790660226
Nitecore,NL1826R,2550.0,"2,550.00",153.29999999999998,0.12240000000000001,Li-ion,€10.95,3.6,In stock,1192.8104575163397,,£10000,1089324.6187363835
Olight,ORB-186L34,3350.0,"3,350.00",279.3,0.1608,Li-ion,€19.95,3.6,Out of stock,1654.2288557213933,,£10000,829187.3963515755
**,INR21700-M58T,5520.0,"5,520.00",98.7,0.26496000000000003,Li-ion,€7.05,3.6,In stock,354.77053140096626,,£10000,503220.61191626417
Nitecore,NL1834R,3350.0,"3,350.00",139.29999999999998,0.1608,Li-ion,€9.95,3.6,In stock,825.0414593698175,,£10000,829187.3963515755
**,INR21700-M58T,5520.0,"5,520.00",95.06,0.26496000000000003,Li-ion,€6.79,3.6,In stock,341.68679549114336,,£10000,503220.61191626417
Maxell,ML2016,1.6,1.60,56.0,7.680000000000002e-05,Li-ion,€3.50,3.0,In stock,729166.6666666666,,£10000,2083333333.3333333
Olight,RCR123A,500.0,500.00,111.3,0.024,Li-ion,€7.95,3.6,Out of stock,4416.666666666667,,£10000,5555555.555555556
Maxell,ML2032-1HFN,3.2,3.20,63.2,0.00015360000000000002,Li-ion,€3.95,3.0,In stock,411458.3333333333,,£10000,1041666666.6666666
Tenpower,INR18650-32HE,3050.0,"3,050.00",32.9,0.146399999999999,Li-ion,€2.35,3.6,Out of stock,214.02550091074679,Buy 600 times for,€1.88,171.22040072859744
Nitecore,NL1832,3150.0,"3,150.00",209.29999999999998,0.1512,Li-ion,€14.95,3.6,In stock,1318.342151675485,,£10000,881834.2151675485
FDK,ML1220-1HFN,2.0,2.00,47.2,9.6e-05,Li-ion,€2.95,3.0,Out of stock,491666.6666666667,,£10000,1666666666.6666665
Sony / Murata,US18650VTC6,3000.0,"3,000.00",76.3,0.14400000000000002,Li-ion,€5.45,3.6,In stock,504.6296296296296,Buy 200 times for,€4.45,412.03703703703707
Tenpower,INR21700-50ME,4950.0,"4,950.00",55.86,0.2376,Li-ion,€3.99,3.6,Out of stock,223.9057239057239,Buy 390 times for,€3.15,176.76767676767676
Samsung,INR18650-32E,3100.0,"3,100.00",32.9,0.14880000000000002,Li-ion,€2.35,3.6,In stock,210.5734767025089,Buy 400 times for,€1.95,174.7311827956989
**,INR21700-M50L,4750.0,"4,750.00",33.46,0.228,Li-ion,€2.39,3.6,In stock,139.76608187134505,,£10000,584795.321637427
Samsung,INR21700-50E,4850.0,"4,850.00",48.300000000000004,0.232799999999999,Li-ion,€3.45,3.6,Out of stock,197.5945017182131,,£10000,572737.6861397481
**,INR18650MH1,3100.0,"3,100.00",32.9,0.14880000000000002,Li-ion,€2.35,3.6,In stock,210.5734767025089,Buy 600 times for,€1.99,178.3154121863799
**,INR18650-MJ1,3400.0,"3,400.00",90.3,0.163199999999999,Li-ion,€6.45,3.6,In stock,526.9607843137255,,£10000,816993.4640522876
