Product url,Brand,Model,Price,Capacity - mAh,Max Discharge A,Num Cells4V,Weight,Current Ah,min Cost,Kwh for Min cost,Chemistry,Voltage,availability,Cost KwH,LowPriceQty,LowPrice,LC Min Price,LC KwH
https://eu.nkon.nl/rechargeable/li-ion/lishen-lr1865la-2000mah-20a-half-wrap.html,Lishen,LR1865LA,1.65,1900.0,20.00,15,42,"1,900.00",24.75,0.1,Li-ion,3.6,Out of stock,241.23,Buy 200 times for,1.39,20.85,203.22
https://eu.nkon.nl/rechargeable/li-ion/samsung-inr18650-20r-2000mah-22a-half-wrap.html,Samsung,INR18650-20R,1.75,1950.0,22.00,15,40,"1,950.00",26.25,0.1,Li-ion,3.6,Out of stock,249.29,Buy 100 times for,1.45,21.75,206.55
https://eu.nkon.nl/jgne-26650-4000mah-12a-lifepo4.html,JGNE,JGCFR26650-4000mAh-3.2V,3.15,3950.0,12.00,16,87,"3,950.00",50.4,0.2,LIFEPO4,3.2,Out of stock,249.21,Buy 400 times for,2.65,42.4,209.65
https://eu.nkon.nl/18650he2-imr-battery.html,**,LGDBHE21865,2.49,2450.0,20.00,15,45,"2,450.00",37.35,0.13,Li-ion,3.6,In stock,282.31,Buy 600 times for,1.85,27.75,209.75
https://eu.nkon.nl/eve-inr18650-25p-2500mah-20a.html,EVE,INR18650-25P,2.29,2500.0,20.00,15,45,"2,500.00",34.35,0.13,Li-ion,3.6,Out of stock,254.44,Buy 200 times for,1.89,28.35,210.0
https://eu.nkon.nl/jgne-htcfr26650-3800mah-11-4a-lifepo4.html,JGNE,26650,2.99,3750.0,11.40,16,88,11.40,47.84,0.19,LIFEPO4,3.2,Out of stock,249.17,Buy 600 times for,2.55,40.8,212.5
https://eu.nkon.nl/samsung-inr18650-20r-reclaimed.html,Samsung,INR18650-20R,1.75,1950.0,22.00,15,43,"1,950.00",26.25,0.1,Li-ion,3.6,In stock,249.29,Buy 600 times for,1.5,22.5,213.68
https://eu.nkon.nl/tenpower-20sg.html,Tenpower,ICR18650-20SG,1.99,1950.0,30.00,15,45,"1,950.00",29.85,0.1,Li-ion,3.6,In stock,283.48,Buy 400 times for,1.54,23.1,219.37
https://eu.nkon.nl/inr18650mh1-3200mah-3c-battery.html,**,INR18650MH1,3.25,3100.0,6.00,15,48,"3,100.00",48.75,0.16,Li-ion,3.6,In stock,291.22,Buy 600 times for,2.45,36.75,219.53
https://eu.nkon.nl/rechargeable/li-ion/samsung-inr18650-32e-3100mah-6-4a-reclaimed-met-roestplekken.html,Samsung,INR18650-32E,2.45,3100.0,6.40,15,48,"3,100.00",36.75,0.16,Li-ion,3.6,In stock,219.53,No offers,2.45,36.75,219.53
https://eu.nkon.nl/jgne-26650-3600mah-10-2a-lifepo4.html,JGNE,HTCFR26650,3.49,3550.0,10.20,16,87,"3,550.00",55.84,0.18,LIFEPO4,3.2,In stock,307.22,Buy 400 times for,2.5,40.0,220.07
https://eu.nkon.nl/bak-n18650cp-34e-3350mah-6-5a.html,BAK,N18650CP,2.99,3250.0,6.50,15,48,"3,250.00",44.85,0.17,Li-ion,3.6,In stock,255.56,Buy 600 times for,2.58,38.7,220.51
https://eu.nkon.nl/rechargeable/li-ion/samsung-inr18650-25r-2500mah-20a-half-wrap.html,Samsung,INR18650-25R,2.25,2450.0,20.00,15,44,"2,450.00",33.75,0.13,Li-ion,3.6,Out of stock,255.1,Buy 100 times for,1.95,29.25,221.09
https://eu.nkon.nl/samsung-inr21700-30t-3000mah-35a-clear-wrap.html,Samsung,INR21700-30T,2.99,2950.0,35.00,15,69,"2,950.00",44.85,0.15,Li-ion,3.6,In stock,281.54,Buy 520 times for,2.35,35.25,221.28
https://eu.nkon.nl/eve-lf32-prismatic-32ah-lifepo4-b-grade.html,EVE,LF32K,24.99,32000.0,32.00,16,750,32.00,399.84,1.64,LIFEPO4,3.2,In stock,244.04,Buy 32 times for,22.9,366.4,223.63
https://eu.nkon.nl/molicel-inr18650-m35a-3500mah-10a.html,Molicel,INR-18650-M35A,3.45,3350.0,10.00,15,48,"3,350.00",51.75,0.17,Li-ion,3.6,In stock,286.07,Buy 600 times for,2.7,40.5,223.88
https://eu.nkon.nl/sanyo-ncr20700a-3300mah-30a.html,Sanyo,20700,2.95,3150.0,30.00,15,68,30.00,44.25,0.16,Li-ion,3.6,In stock,260.14,Buy 390 times for,2.55,38.25,224.87
https://eu.nkon.nl/jgne-18650-1800mah-5-4a-lifepo4.html,JGNE,MH48108,1.69,1700.0,5.40,16,42,"1,700.00",27.04,0.09,LIFEPO4,3.2,Out of stock,310.66,Buy 600 times for,1.26,20.16,231.62
https://eu.nkon.nl/eve-lf50k-prismatic-50ah-50a-lifepo4.html,EVE,LF50K,37.99,50000.0,50.00,16,1395,50.00,607.84,2.56,LIFEPO4,3.2,Out of stock,237.44,No offers,37.99,607.84,237.44
https://eu.nkon.nl/jgne-18650-1600mah-4-8a-lifepo4.html,JGNE,MH48108,1.49,1500.0,4.80,16,46,"1,500.00",23.84,0.08,LIFEPO4,3.2,In stock,310.42,Buy 600 times for,1.14,18.24,237.5
https://eu.nkon.nl/rechargeable/li-ion/samsung-inr18650-33g-3150-mah-6-5a.html,Samsung,INR18650-33G,2.85,3000.0,6.50,15,48,6.50,42.75,0.15,Li-ion,3.6,Out of stock,263.89,Buy 600 times for,2.58,38.7,238.89
https://eu.nkon.nl/samsung-inr18650-30q-3000mah-15a-reclaimed.html,Samsung,INR18650-30Q,2.99,2950.0,15.00,15,46,"2,950.00",44.85,0.15,Li-ion,3.6,In stock,281.54,Buy 100 times for,2.65,39.75,249.53
https://eu.nkon.nl/rechargeable/li-ion/samsung-inr-18650-30q-3000mah-15a-2017.html,Samsung,INR18650-30Q,2.85,2950.0,15.00,15,46,"2,950.00",42.75,0.15,Li-ion,3.6,In stock,268.36,Buy 100 times for,2.69,40.35,253.3
https://eu.nkon.nl/sinowatt-sw18650-30sp-2900mah-15a.html,Sinowatt,SW18650-30SP,3.25,2900.0,15.00,15,49,"2,900.00",48.75,0.15,Li-ion,3.6,Out of stock,311.3,Buy 600 times for,2.65,39.75,253.83
https://eu.nkon.nl/sanyo-ncr2070c-clear.html,Sanyo,20700,3.55,3500.0,30.00,15,60,30.00,53.25,0.18,Li-ion,3.6,In stock,281.75,Buy 100 times for,3.25,48.75,257.94
https://eu.nkon.nl/samsung-inr18650-32e-3100mah-6-4a.html,Samsung,INR18650-32E,3.85,3100.0,6.40,15,48,"3,100.00",57.75,0.16,Li-ion,3.6,In stock,344.98,Buy 400 times for,2.9,43.5,259.86
https://eu.nkon.nl/samsung-inr18650-35e.html,Samsung,INR18650-35E,3.95,3350.0,8.00,15,49,"3,350.00",59.25,0.17,Li-ion,3.6,Out of stock,327.53,Buy 600 times for,3.15,47.25,261.19
https://eu.nkon.nl/panasonic-ncr18650bd-3200mah-10a.html,Panasonic,NCR18650BD,3.55,3030.0,10.00,15,49,"3,030.00",53.25,0.16,Li-ion,3.6,In stock,325.45,Buy 540 times for,2.85,42.75,261.28
https://eu.nkon.nl/tenpower-inr18650-2500mah-20a.html,Tenpower,INR18650-25PG,2.85,2450.0,20.00,15,47,"2,450.00",42.75,0.13,Li-ion,3.6,In stock,323.13,Buy 400 times for,2.31,34.65,261.9
https://eu.nkon.nl/samsung-icr18650-26j3.html,Samsung,ICR18650-26J,2.79,2550.0,10.00,15,44,"2,550.00",41.85,0.13,Li-ion,3.6,Out of stock,303.92,Buy 200 times for,2.41,36.15,262.53
https://eu.nkon.nl/sanyo-18650ga.html,Sanyo,NCR18650GA,4.35,3300.0,10.00,15,48,"3,300.00",65.25,0.17,Li-ion,3.6,Out of stock,366.16,Buy 495 times for,3.15,47.25,265.15
https://eu.nkon.nl/panasonic-ncr18650pf-3-7v-2900mah.html,Panasonic,NCR18650PF,3.25,2850.0,10.00,15,46,"2,850.00",48.75,0.15,Li-ion,3.6,In stock,316.76,Buy 540 times for,2.79,41.85,271.93
https://eu.nkon.nl/bak-n18650cnp-2500mah-20a.html,BAK,N18650CNP,2.89,2400.0,20.00,15,47,"2,400.00",43.35,0.12,Li-ion,3.6,Out of stock,334.49,Buy 600 times for,2.4,36.0,277.78
https://eu.nkon.nl/inr18650m36-3600mah-10a.html,**,LGDBM361865,3.99,3400.0,5.00,15,49,"3,400.00",59.85,0.17,Li-ion,3.6,In stock,325.98,Buy 600 times for,3.45,51.75,281.86
https://eu.nkon.nl/inr18650-f1l-3350mah-4-8a.html,**,LGGBF1L1865,3.75,3250.0,4.80,15,43,"3,250.00",56.25,0.17,Li-ion,3.6,Out of stock,320.51,Buy 600 times for,3.33,49.95,284.62
https://eu.nkon.nl/eve-lf22k-prismatic-22ah-lifepo4-b-grade.html,EVE,LF22K,21.95,22000.0,66.00,16,628,66.00,351.2,1.13,LIFEPO4,3.2,In stock,311.79,Buy 8 times for,20.75,332.0,294.74
https://eu.nkon.nl/samsung-inr-18650-30q-3000mah.html,Samsung,INR18650-30Q,3.79,2950.0,15.00,15,46,"2,950.00",56.85,0.15,Li-ion,3.6,In stock,356.87,Buy 200 times for,3.19,47.85,300.38
https://eu.nkon.nl/sanyo-18650ga-4895.html,Sanyo,NCR18650GA,4.25,3350.0,10.00,15,48,"3,350.00",63.75,0.17,Li-ion,3.6,In stock,352.4,Buy 540 times for,3.78,56.7,313.43
https://eu.nkon.nl/rechargeable/li-ion/lg-inr21700-m58t-5570mah-12-5a-no-wrap.html,**,INR21700-M58T,6.79,5520.0,12.50,15,73,"5,520.00",101.85,0.28,Li-ion,3.6,In stock,341.69,Buy 50 times for,6.45,96.75,324.58
https://eu.nkon.nl/rechargeable/li-ion/inr21700-m58t-5570mah-12-5a-clear-wrap.html,**,INR21700-M58T,7.05,5520.0,12.50,15,73,"5,520.00",105.75,0.28,Li-ion,3.6,In stock,354.77,Buy 50 times for,6.45,96.75,324.58
https://eu.nkon.nl/samsung-inr18650-20r.html,Samsung,INR18650-20R,2.75,1950.0,22.00,15,43,22.00,41.25,0.1,Li-ion,3.6,In stock,391.74,Buy 600 times for,2.3,34.5,327.64
https://eu.nkon.nl/rechargeable/li-ion/inr18650-hj2-3000mah-20a.html,**,LGABHG21865,4.45,2950.0,20.00,15,46,"2,950.00",66.75,0.15,Li-ion,3.6,In stock,419.02,Buy 600 times for,3.6,54.0,338.98
