Brand,Model,Min. capacity - mAh:,Dischatge Current:,Price:,Voltage:,Cost KwH
Olight,orb-186C32,"3,150.00",4.0,€22.75,3.6V,2123.3333333333335
Sanyo,UR18650ZM2,"2,420.00",8.0,€2.15,3.6V,263.375
Samsung,INR18650-32E,"3,100.00",6.4,€2.35,3.6V,233.04166666666666
Tenpower,INR18650-32HE,"3,050.00",10.0,€2.35,3.6V,233.04166666666666
Samsung,INR18650-30Q,"2,950.00",15.0,€2.85,3.6V,282.625
Molicel,INR-18650-M35A,"3,350.00",10.0,€3.45,3.6V,301.87500000000006
Tenpower,INR21700-50ME,"4,950.00",15.0,€3.99,3.6V,256.02500000000003
Samsung,INR18650-20R,"1,950.00",22.0,€1.75,3.6V,265.4166666666667
Sanyo,NCR20700,"3,150.00",30.0,€2.95,3.6V,275.33333333333337
Keeppower,P2770C,"5,500.00",10.0,€7.50,3.6V,437.5
Lishen,LR1865LA,"1,900.00",20.0,€1.65,3.6V,259.875
Keeppower,UH1835,700.00,8.0,€3.95,3.6V,16474.791666666668
Keeppower,P1835C,850.00,4.3,€4.95,3.6V,17007.375
Lishen,LR21700SA,"3,900.00",12.0,€2.35,3.6V,178.20833333333334
Vapcell,INR18350,"1,100.00",10.0,€4.45,3.6V,1194.0833333333335
Keeppower,P1835C2,"1,100.00",10.0,€6.75,3.6V,1811.25
Samsung,INR18650-29E,"2,750.00",8.25,€2.25,3.6V,249.375
Keeppower,P1443C,600.00,4.0,€4.25,3.6V,20676.25
Keeppower,P1665J,"2,450.00",4.0,€8.75,3.6V,1071.875
Keeppower,UH1835P,"1,100.00",10.0,€5.75,3.6V,1542.9166666666667
Enercig,TN18350HP,650.00,14.0,€3.45,3.6V,15496.25
